basin_id,Catchment Area (km2),Reservoir area (km2),lat,lon,Soil Carbon Content (kgC m-2),Mean_annual_runoff (2011-2018) (mm yr-1),Effective Temperature CO2 (°C),Effective Temperature CH4 (°C),Discharge (m3 yr-1),Age,YEAR,q-bathymetric Shape,% Littoral Area,Cumulative radiance (kWh m-2 period),GRAND_ID,Maximum Depth (m),P Input from catchment (kgP yr-1),CH4 Diffusive Emissions(g CO2e/m2/yr),CH4 Bubbling Emissions (g CO2e/m2/yr,Storage Capacity (millions of m3),MAIN_USE,Installed Capacity(MW),CRD_ID,Name,Province,Prefecture,County,ZN_name,River Area Before impoundment (%),R_WRT,CO2 diffusion part 1,CO2 diffusion part 2,CH4 Bubbling Emissions (g CO2e/m2/yr),number of month over 0°,Average GHI (kWh m-2 period),Mean Depth(m),P Human Input (kgP yr-1),CH4 Degassing Emissions (gCO2e/m2/yr),FID_1query_shape,Main Basin,FID_2query_shape,Sub Basin,FID_3query_shape,Third Level Basin,"Water Residence Time (WRT, yrs)",Total Phosphorus (µg L-1),CO2 Diffusive Emissions (g CO2e/m2/yr),Length(m)
5209,156.1420213,2.230050933,29.095213,104.733939,5.840736737,489.4628875,19.93323875,20.01508437,76425724.61,48.0,1975.0,2.609022504833513,15.496941251803763,37.84,5088.0,48.0,15.95267919,121.16168622111668,15.33656769,29.7,Irrigation,,21473.0,Muqiaogou Reservoir,Sichuan,Zigong,Fushun County,木桥沟水库,0.022071374,0.3838436502048074,532.6942573134323,475.8554341821369,15.336567688787436,12,3.153333333,13.30000019,12879.459571074723,,4.0,长江流域,30.0,岷江水系,178.0,沱江,0.3880850065298877,103.96486499504742,56.83882313129544,16.5716519
5210,3.143864608,0.056608625,24.73303868,102.0888039,10.35761515,369.3860625,13.81136566,13.83887915,1161299.769,,,,,56.23,,,0.189480349,,,2.002630435,,,86484.0,Mi Mao Reservoir,Yunnan,Yuxi,Yimen County,,,0.5289748389199836,,,,12,4.685833333,25.872807053350964,74.12567472695736,,7.0,西南国际河流流域,40.0,元江－红河流域,173.0,元江,1.261193769089085,30.142353270664607,,
5211,5269.42609,21.09106482,38.052144,111.91463,6.901604386,1176.032763,13.33103144,13.48411062,6197017724.0,62.0,1961.0,0.7241379686880707,3.6462067103691376,36.30666667,5217.0,60.0,1031.720977,30.195940736128712,3.723393245,733.0,Irrigation,13.0,26757.0,Fenhe Reservoir,Shanxi,Taiyuan,Loufan County,汾河水库,0.044636936,0.2560352931592984,251.4832927344776,205.4400547215639,3.723393246051172,8,4.538333333,34.79999924,110895.28883131112,,2.0,黄河流域,53.0,汾河水系,29.0,汾河,0.1184390738239601,13.437067432792212,46.04323801291369,102.7960931
5212,4.769177776,0.15618879,22.32328806,108.6593413,6.829030179,947.6651,23.48175766,23.53574094,4519583.334,,,,,45.0,,,0.394238726,,,1.83170106,,,90566.0,Hero Ridge Reservoir,Guangxi,Qinzhou,Qinbei District,,,0.4859687177616736,,,,12,3.75,25.863426853302787,378.7640694983995,,6.0,珠江流域,43.0,粤桂琼沿海诸河系,51.0,桂南诸河,0.8937941944940363,43.12327419249278,,
5213,16.31461906,0.117729835,33.25801992,113.7681492,4.546194555,947.6651,19.31987997,19.44336179,15460795.1,,,,,46.72,,,3.915998678,,,3.976107517,,,66525.0,Baligang Reservoir,Henan,Zhumadian City,Suiping County,,,0.3074262213862165,,,,12,3.893333333,25.875873180981777,1989.746704118616,,3.0,淮河流域,15.0,淮河干流水系,157.0,王家坝以上北岸,0.1970378793452419,89.30708300747227,,
5214,27.29517911,0.494744919,27.53133406,113.2846431,9.516739677,947.6651,21.31635505,21.42858198,25866688.64,,,0.9683186234903832,7.271249189424678,40.0,,40.0,0.328257137,100.11656488149916,,17.38,,,92307.0,Zhoufang Reservoir,Hunan,Zhuzhou,Liling City,,0.023061761,0.3840283426085388,491.67278259947545,,10.427269679012436,12,3.333333333,20.32191309,1829.832678811108,,4.0,长江流域,19.0,洞庭湖水系,57.0,湘江衡阳以下,0.3886915478535588,43.58220260423191,,6.712345502
5217,321.0881161,12.53503309,25.481563,118.980462,7.286347007,1085.010363,22.38069348,22.45015624,348383933.4,63.0,,0.6857142857142857,3.515182001418116,43.57,5671.0,59.0,20.58631583,80.30097946725577,8.609019338,440.0,Irrigation,3.12,68092.0,Dongzhen Reservoir,Fujian,Putian City,Chengxiang District,,0.007376574,0.5287894092366712,567.2080076980476,,8.609019337690267,12,3.630833333,35.0,19171.15866823745,,5.0,东南沿海诸河流域,36.0,浙东、闽东及台湾沿海诸河系,5.0,闽南诸河,1.2593179997207866,25.958009611592438,,24.71772163
5220,78.02018144,0.4228823,25.39086161,101.1272441,10.82356926,258.24085,18.9755725,19.01061478,20147997.97,,,0.9491476118205584,7.508745745738077,57.81,,38.0,4.821826838,77.69562705340131,,6.412178705,,,92159.0,Liyuan Reservoir,Yunnan,Chuxiong Yi Autonomous Prefecture,Yao'an County,梨园水库,0.074970646,0.3901251574443571,460.3009487312327,,90.32749331611612,12,4.8175,19.49570149,2040.364964209793,,4.0,长江流域,21.0,雅砻江水系,49.0,石鼓以下干流,0.4091913795887826,61.90729093999176,,13.32761758
5221,15.09231326,0.118444957,24.23252917,102.5385032,8.421381033,416.5454375,17.32149032,17.35582144,6286634.23,,,,,56.23,,,1.775270389,,,1.831151953,,,90145.0,????????????,Yunnan,Yuxi,Hongta District,,,0.4111077051886103,,,,12,4.685833333,25.86670484827369,849.6434425316304,,6.0,珠江流域,38.0,西江水系,177.0,南盘江,0.4873483379986195,79.75554189307269,,
5223,242.036197,0.572946387,41.23221235,125.8699885,13.73969908,4.259375,13.96346919,14.13818842,1030922.927,,1979.0,,,38.256,,,2.436265427,,,21.58,,2.75,67580.0,Sanjiazi Reservoir,Jilin,Tonghua,Ji'an,三家子水库,0.105622791,0.7914397664121288,522.7551925756494,481.5449475704091,,8,4.782,25.9110456522286,1655.28313158151,,0.0,东北诸河流域,48.0,鸭绿江水系,118.0,浑江口以上,14.40033935305192,335.3639109272035,41.21024500524032,17.70834242
